role;starting_salary;starting_salary_hr_yr;year_starting_salary;ending_salary 1;ending_salary_hr_yr;Hourly(H)_Permanent(P)_Contingent(C);year_ending_salary;years_experience;gender;ethnicity;degrees_required
Director;42000;yr;N;50000;yr;P;2019;7;male;white;BA
Director;68500;yr;2016;75000;yr;P;2019;24;female;white;MA
Registrar;35000;yr;N;45000;yr;P;2009;15;female;white;MA
Curator;38000;yr;2017;41600;yr;P;2019;8;female;white;MA
Manager;62000;yr;2017;66340;yr;P;2019;7;n/a;N;BA required MA preferred
Curator;70000;yr;2017;72100;yr;P;2019;10;female;white;MA required PhD preferred
Admin;35000;yr;2016;42000;yr;P;2019;;female;white;N
Photographer;37000;yr;2015;37000;yr;P;2017;5;female;N;BA required MA preferred
Assistant Curator;45000;yr;2018;45000;yr;n/a;2019;4;female;white;BA
Coordinator;45000;yr;2017;47000;yr;H;2019;6;female;white;BA
Coordinator;28000;yr;2003;49000;yr;P;2019;20;female;white;MA
Manager;28000;yr;2012;34500;yr;P;2019;7;female;white;None required MA preferred
Manager;36000;yr;2018;36000;yr;P;2019;8;n/a;N;N
Director;47000;yr;2016;48000;yr;P;2018;10;n/a;N;N
Communications;13;hr;2019;15;hr;H;2019;10;male;N;BA
Curator;;;N;62500;yr;P;2019;15;female;white;MA
Assistant Registrar;44000;yr;2017;44500;yr;P;2018;8;female;poc;MA
Registrar;40000;yr;N;40500;yr;H,P;2019;20;n/a;N;N
Archivist;35360;yr;2014;59000;yr;P;2019;5;male;white;MA
Coordinator;35000;yr;2017;35000;yr;H,P;2019;7;female;white;MA
Assistant Curator;37900;yr;2017;39000;yr;P;2018;15;female;white;BA required MA preferred
Relations;37500;yr;2018;38500;yr;H;2019;3;female;white;BA
Director;43000;yr;2016;52000;yr;P;2019;13;female;white;MA
Assistant Curator;13000;yr;2015;13000;yr;n/a;2019;5;female;white;MA
Curator;43000;yr;2017;44290;yr;P;2019;8;male;white;BA required MA preferred
Registrar;54000;yr;2019;54000;yr;H,P;2019;8;female;white;BA required MA preferred
Curator;32800;yr;2015;36650;yr;P;2019;6;female;white;MA
Manager;62000;yr;2018;62000;yr;P;2019;12;female;white;BA
Technical;23000;yr;2010;29000;yr;P;2016;8;male;N;BA
Assistant Curator;55000;yr;2018;55000;yr;P;2019;4;female;white;MA required PhD preferred
Curator;75000;yr;2018;80000;yr;P;2019;10;female;white;MA
Manager;35000;yr;2014;47990;yr;P;2019;8;female;white;MA
Registrar;40000;yr;2015;48000;yr;P;2019;10;female;white;N
Curator;36000;yr;2016;41000;yr;P;2019;5;female;white;MA required PhD preferred
Coordinator;31000;yr;2017;31000;yr;P;2019;3;female;white;MA
Assistant Registrar;14,58;hr;2015;15,47;hr;P;2019;4;female;white;BA required MA preferred
Conservator;59000;yr;2019;59000;yr;P;2019;15;n/a;N;MA
Conservator;52000;yr;2018;52000;yr;P;2019;7;female;white;MLIS
Director;40000;yr;2018;40000;yr;P;2019;12;n/a;N;MA
Communications;35500;yr;2015;47500;yr;P;2018;7;male;white;MA
Academic;23;hr;2018;23;hr;H,C;2019;2;female;white;MA
Registrar;41000;yr;2016;43000;yr;P;2019;15;female;white;BA
Assistant Registrar;35000;yr;2017;40500;yr;P;2019;5;male;white;BA
Assistant Registrar;36000;yr;2018;37500;yr;P;2019;1;female;white;MA
Coordinator;39050;yr;2016;49500;yr;P;2019;4;female;mixed;BA
Communications;34600;yr;2017;37000;yr;H;2019;3;female;white;BA
Manager;41000;yr;2016;41250;yr;P;;7;female;white;MA
Manager;60000;yr;2019;;N;P;2019;14;female;poc;MA
Registrar;24000;yr;2015;29250;yr;H,P;2019;25;n/a;N;N
Manager;12;hr;2017;14;hr;H Full Time;2017;1;n/a;N;N
Manager;102000;yr;2019;;N;C;2019;15;female;latino;MA
Assistant;13;hr;2019;;N;H;2019;n/a;female;white;None required BA preferred
Manager;54000;yr;2019;54000;yr;P;2019;9;female;white;BA
Coordinator;14;hr;2011;18;hr;H;2019;20;female;white;BA
Assistant;27000;yr;2014;27000;yr;P;2014;2;n/a;N;N
Coordinator;32000;yr;2017;36000;yr;P;2019;7;female;white;BA
Assistant;11,25;hr;2018;11,25;hr;H;2019;7;female;white;BA required MA preferred
Technical;40000;yr;2016;45000;yr;H;;15;female;white;BA required MA preferred
Registrar;14;hr;2017;15;hr;H;2019;5;female;poc;N
Curator;53000;yr;N;68000;yr;P;2019;;n/a;N;N
Designer;50408;yr;2009;89703;yr;P;2019;20;female;latino;MA
Curator;57000;yr;N;;N;P;2019;;female;white;N
Curator;71901;yr;2019;71901;yr;C;2019;;n/a;N;MA
other;24344;yr;1994;72360;yr;P;2019;25;male;white;No degree
Registrar;48000;yr;2006;60000;yr;P;2019;17;female;white;MA
Curator;32000;yr;2017;42000;yr;P;2019;4;female;white;BA
Admin;30000;yr;2012;37000;yr;P;2018;12;female;white;MA
Manager;;;N;58500;yr;P;2019;19;female;N;BA required MA preferred
Curator;37500;yr;2012;56000;yr;P;2019;12;female;white;BA
Registrar;65000;yr;2017;67500;yr;n/a;2019;18;female;N;MA
Coordinator;13,4;hr;2019;13,4;hr;H;2019;1;female;white;N
Director;42000;yr;2016;47500;yr;P;2019;10;n/a;N;N
Assistant Curator;42000;yr;2015;55000;yr;P;2019;10;female;mixed;MA
Curator;42000;yr;2015;58000;yr;P;2019;9;female;white;MA
Assistant Director;28500;yr;2014;45000;yr;P;2019;7;female;white;MA
Relations;40000;yr;2017;42000;yr;P;;8;n/a;N;MA
Director;63000;yr;2017;65000;yr;P;2019;17;female;white;MA
Communications;41000;yr;N;49000;yr;P;2019;;female;white;BA
Manager;40000;yr;2014;47970;yr;P;2019;12;female;N;MA
Director;;;N;108000;yr;P;2019;;n/a;N;N
Coordinator;42000;yr;2018;45000;yr;P;2019;3;female;latino;BA
Director;20000;yr;2016;22500;yr;P;2019;6;female;N;MA
Conservator;45000;yr;2019;45000;yr;P;2019;9;n/a;N;MA
Technical;64500;yr;2018;70000;yr;P;2019;11;female;white;MLIS
Director;50000;yr;2017;50000;yr;P;2019;10;female;white;MA
Director;23,6;hr;2014;30;hr;H;2019;8;n/a;N;N
Manager;29000;yr;N;32000;yr;H;2019;3;n/a;poc;BA
Assistant;35500;yr;2019;37720;yr;H;2019;4;female;white;BA
Assistant Manager;32000;yr;2018;33000;yr;P;2019;6;male;white;BA
Manager;29,67;hr;2015;31,6;hr;H;2019;8;female;white;BA
Conservator;;;N;70000;yr;P;2019;;n/a;N;N
Assistant Director;;;N;77000;yr;P;2019;10;female;white;No degree
Librarian;50000;yr;2016;53000;yr;n/a;2019;5;female;white;MLIS
Director;82500;yr;2013;85000;yr;P;2016;8;female;white;BA
Assistant Registrar;43000;yr;2018;44000;yr;n/a;n/a;2;n/a;N;N
Communications;38000;yr;2013;43000;yr;n/a;2017;5;female;N;N
Communications;50000;yr;2018;50000;yr;P;2019;15;female;white;MA
Assistant Curator;62000;yr;2018;65000;yr;P;2019;8;female;white;MA
Gallery Assistant;35000;yr;2018;35000;yr;P;;2;female;poc;BA
Curator;35000;yr;2005;35000;yr;C;2009;0;n/a;N;N
Manager;67000;yr;2019;67000;yr;P Full Time;2019;5;female;N;N
Coordinator;43000;yr;2017;47500;yr;P;2019;5;female;white;BA
Registrar;13,78;hr;2014;20,06;hr;H,P;2019;5;female;N;MA
Registrar;61000;yr;2019;61000;yr;P;2019;6;female;N;MA
Assistant;22;hr;N;22;hr;H,C;2019;3;female;white;N
Assistant;37000;yr;2018;40000;yr;P;2019;1;female;white;BA
Director;72000;yr;2018;75000;yr;P;2019;10;female;white;MA
Manager;42000;yr;2015;44500;yr;P;;5;n/a;N;MA
Assistant Director;30000;yr;2012;32600;yr;P;2017;10;female;mixed;MA
Registrar;25;hr;2015;45;hr;H;;12;male;white;BA
Conservator;30000;yr;2018;32000;yr;C;2019;5;female;white;MA
Manager;30000;yr;2013;40000;yr;P;2019;10;n/a;N;BA
Curator;60000;yr;2018;85000;yr;n/a;2019;15;n/a;N;N
Assistant Curator;57000;yr;N;60000;yr;P;2019;;female;white;N
Director;80000;yr;2016;84000;yr;P;2019;21;male;white;MA
Director;24;hr;2018;24;hr;H;2019;12;female;white;BA
Visitor Experience;33,28;hr;2016;37,44;hr;H Full Time;2019;4;female;white;BA
Curator;60000;yr;2014;65000;yr;P;2019;9;male;white;N
Director;70000;yr;2018;70000;yr;P;2019;9;female;white;MA
Coordinator;33000;yr;2019;35000;yr;P;2019;2;female;white;BA required MA preferred
Director;75000;yr;2018;78750;yr;P;2019;11;female;mixed;MA
Manager;29000;yr;2019;29000;yr;P;2019;0;female;white;N
Director;48000;yr;2017;48000;yr;C;2019;20;female;N;None required MA preferred
Communications;35000;yr;2017;41000;yr;H;2019;3;female;latino;BA
Director;45000;yr;2018;50000;yr;P;2019;3;female;white;BA
Designer;30000;yr;2015;45000;yr;H;2019;6;male;white;BA
Assistant;16;hr;2018;16;hr;H;2019;3;female;latino;BA required MA preferred
Communications;45000;yr;2014;53000;yr;P;2019;15;n/a;N;BA required MA preferred
Assistant;42000;yr;2018;52800;yr;P;2019;2;female;white;BA
Assistant Director;10;hr;2005;12;hr;H;2017;n/a;male;mixed;BA required MA preferred
Coordinator;15;hr;2012;20,1;hr;H;2019;10;female;N;MA
Admin;40000;yr;2011;40000;yr;P;2013;4;female;mixed;MA
Manager;;;N;82000;yr;P;2019;15;female;white;N
Curator;40500;yr;2018;40500;yr;P Full Time;2019;1;female;white;BA
Curator;13,5;hr;2017;15;hr;H,P;2019;0;female;white;BA
Librarian;40000;yr;2013;58500;yr;P;2019;10;n/a;N;MLIS
Manager;18000;yr;1998;47500;yr;P;2017;21;female;white;N
Curator;40000;yr;2019;;N;n/a;2019;10;female;white;MA
Assistant Director;51500;yr;2018;51500;yr;P;2019;n/a;female;N;BA
Coordinator;14;hr;2018;15,5;hr;H,P;2019;5;female;N;N
Manager;73000;yr;2014;75000;yr;n/a;2019;20;female;N;N
Director;47000;yr;2011;70000;yr;P;2019;20;female;white;N
Director;48000;yr;2017;51000;yr;P;2019;;female;white;N
Coordinator;15,5;hr;2014;16,99;hr;H;2019;10;female;white;BA required MA preferred
Coordinator;;;N;28,8;hr;H;2019;3;female;white;N
Manager;45000;yr;2018;45000;yr;n/a;2010;3;female;poc;BA
Assistant Director;24960;yr;2015;33696;yr;H;2019;4;female;white;BA
Coordinator;37500;yr;2016;41100;yr;H;2019;3;female;white;MA
Curator;49000;yr;2017;50000;yr;C;2019;15;female;white;MA
Assistant Curator;38000;yr;N;48000;yr;P;2016;;n/a;N;N
Director;35000;yr;N;35000;yr;H Full Time;2019;;female;N;N
Communications;58000;yr;2016;67000;yr;P;2019;15;female;white;BA
Assistant Director;10;hr;2015;10;hr;H,P;2019;25;female;white;BA
Curator;46600;yr;N;46600;yr;P Full Time;2019;;female;white;N
Communications;50000;yr;2017;50000;yr;n/a;2019;20;female;latino;BA
Manager;33000;yr;2018;35000;yr;P;2019;2;female;white;BA
Manager;28912;yr;2015;33280;yr;H;2019;10;n/a;N;N
Communications;20000;yr;2015;20000;yr;H,P;2016;3;female;white;BA required MA preferred
Registrar;31200;yr;2017;35000;yr;P;2019;4;female;white;BA
Designer;33000;yr;2011;34000;yr;n/a;2014;5;female;N;BA
Coordinator;16;hr;2018;19,78;hr;H;2019;3;n/a;white;BA
Manager;60000;yr;2018;62000;yr;P;2019;10;female;white;MA
Manager;35000;yr;2015;50000;yr;P;2019;5;female;white;BA required MA preferred
other;75000;yr;2015;90000;yr;P;2019;20;female;white;MA
Manager;42000;yr;2019;42000;yr;P;2019;8;female;white;MA
Manager;;;N;60000;yr;n/a;2019;15;female;poc;BA
Manager;45000;yr;2018;46000;yr;P;2019;5;female;white;MA
Assistant Curator;;;N;52000;yr;P;2019;5;n/a;N;MA
Gallery Assistant;15,5;hr;2018;15,5;hr;H,P;2019;3;female;white;BA required MA preferred
Designer;33000;yr;2006;56540;yr;P;2019;32;male;white;BA
Director;;;N;70000;yr;P;2019;7;n/a;N;N
Curator;32000;yr;2014;36500;yr;P;2018;3;female;white;MA
Curator;70000;yr;2016;75000;yr;n/a;2019;15;female;white;MA required PhD preferred
Visitor Experience;4200;yr;2016;4200;yr;C;2019;6;n/a;N;N
Designer;45000;yr;2008;52000;yr;P;2016;15;male;white;BA
Manager;60000;yr;2011;68000;yr;P;2017;14;female;white;MA
Manager;68000;yr;2016;71512;yr;P;2019;10;female;N;MA
Coordinator;;;N;85000;yr;P;2019;10;n/a;N;MA
Visitor Experience;50000;yr;2018;51200;yr;P;2019;5;female;white;BA
Registrar;17;hr;2015;19;hr;H,P;2019;6;male;white;MA
Curator;70;hr;2019;70;hr;H,C;2019;6;female;white;BA
Curator;27500;yr;2010;31200;yr;n/a;2019;24;female;white;BA
Director;35000;yr;2018;35000;yr;P;2019;2;female;white;BA
Curator;42000;yr;2015;52000;yr;P;;7;female;white;MA required PhD preferred
Coordinator;42000;yr;2017;44500;yr;n/a;;;female;poc;N
Assistant;26;hr;2012;33;hr;H Part Time;;;male;white;N
Director;85000;yr;N;;N;n/a;2019;;n/a;N;N
Relations;15;hr;2019;15;hr;H;2019;3;female;white;BA
Communications;;;N;75000;yr;P;2019;15;female;white;MA
Assistant Curator;38000;yr;2013;58000;yr;P;2019;9;female;white;MA
Manager;42000;yr;2013;55000;yr;n/a;2018;6;female;mixed;N
Communications;18000;yr;1990;55000;yr;P;2019;29;male;white;N
Manager;50500;yr;2018;53000;yr;P;2019;5;female;white;None required MA preferred
Manager;18;hr;2015;22;hr;H;2016;7;female;white;N
Communications;40000;yr;2015;N;yr;P;2017;;female;white;BA
Communications;80000;yr;2017;84000;yr;P;2019;7;male;black;BA
Director;100000;yr;N;100000;yr;P;2019;8;female;white;BA
Research;40000;yr;2016;40000;yr;P;2018;2;female;white;BA
Manager;25;hr;2017;25;hr;H;2018;8;female;white;N
Gallery Assistant;25;hr;2019;25;hr;H;2019;6;female;white;MA
Registrar;30000;yr;N;50000;yr;P;2019;10;n/a;white;No degree
Manager;50000;yr;2018;50000;yr;P;2019;6;female;N;BA
Curator;;;2018;150000;yr;P;2019;21;female;white;MA
Registrar;45000;yr;2019;45000;yr;P;2019;1;n/a;N;N
Manager;40000;yr;2017;45000;yr;P;2019;8;n/a;N;BA
Assistant Registrar;32000;yr;2008;60000;yr;P;2019;10;female;white;MA
Manager;45000;yr;2012;65000;yr;P;2015;4;female;white;N
Technical;85000;yr;N;85000;yr;P;;15;male;N;MA
Director;0;yr;N;72000;yr;P;2019;8;female;white;MA
Manager;62000;yr;2016;69000;yr;P;2019;19;n/a;N;N
Relations;15;hr;2019;15;hr;C;2019;0;female;N;N
Assistant Director;15;hr;2014;17;hr;H;2018;5;n/a;N;BA
Assistant Curator;35000;yr;2014;58000;yr;P;2019;6;female;white;MA
Director;24;hr;N;;N;H;2019;15;female;white;N
Director;16;hr;2018;17;hr;H;2019;3;female;white;BA
Director;54000;yr;N;;N;n/a;2019;10;female;N;N
other;16,68;hr;N;16,68;hr;C;;4;n/a;white;BA required MA preferred
Curator;50000;yr;2016;65000;yr;P;2019;6;n/a;N;MA
Education;40000;yr;2018;41500;yr;P;2019;5;n/a;N;N
Registrar;14;hr;N;14;hr;H;2019;1;female;N;N
Assistant Curator;0;yr;2018;0;yr;H;2019;5;n/a;N;MA
Security;15;hr;2017;17;hr;H;2019;5;female;white;No degree
Art Handler;18;hr;N;21;hr;H,P;;;n/a;N;N
Manager;;;N;30;hr;P;2019;;n/a;N;N
Manager;55000;yr;2015;55000;yr;H;2019;11;female;white;BA
Director;35000;yr;2003;50000;yr;P;2019;20;female;white;MA
Manager;15;hr;2016;17,66;hr;H;2019;8;female;white;BA required MA preferred
Sales;27000;yr;2017;29000;yr;P;2019;3;male;N;BA
Director;65000;yr;2018;65000;yr;P;2019;15;female;white;N
Manager;60000;yr;2018;60000;yr;H;2019;13;n/a;N;N
Manager;60000;yr;2015;63000;yr;P;2019;5;female;N;MA
Director;42000;yr;2017;54000;yr;P;2019;12;female;white;N
Manager;40000;yr;2017;41400;yr;P;2018;3;female;N;BA
other;42000;yr;2017;45000;yr;P;2019;11;female;white;BA
Manager;19000;yr;2017;21500;yr;H;2019;5;male;white;BA
Visitor Experience;16;hr;2017;16;hr;H;2019;10;female;white;BA
Conservator;57000;yr;2017;62400;yr;P;2019;6;other;N;BA
Director;30000;yr;2000;30879;yr;P;2002;5;female;white;BA required MA preferred
Director;13000;yr;2016;31000;yr;P;2019;6;male;white;No degree
Designer;52000;yr;2018;52000;yr;P;2019;7;female;latino;BA
Manager;22;hr;2016;23,5;hr;H,P;2019;18;female;white;No degree
Manager;48000;yr;2019;48000;yr;H Part Time;;;n/a;N;N
Manager;20;hr;2018;22;hr;H,P;2019;7;n/a;N;N
Registrar;53000;yr;2018;53000;yr;P;2019;12;female;N;N
Coordinator;33000;yr;2017;37000;yr;H;2019;8;n/a;N;N
Conservator;35000;yr;2003;80000;yr;P;2019;23;female;white;MA
Registrar;60000;yr;2015;63000;yr;P;2019;6;female;white;N
Assistant Curator;48000;yr;N;52000;yr;P;2016;;n/a;N;N
Assistant;;;N;;N;n/a;2019;;n/a;N;N
Communications;45000;yr;2019;45000;yr;P;2019;5;female;white;BA
Registrar;0;yr;2014;20;hr;H;2018;4;other;white;BA
Assistant;60000;yr;2019;60000;yr;P;2019;10;female;white;N
Gallery Assistant;7;hr;2016;7,5;hr;C;2017;0;n/a;N;MA
Visitor Experience;14;hr;2018;14;hr;H;;;n/a;N;BA required MA preferred
Archivist;22;hr;2019;22;hr;H;2019;3;female;mixed;MLIS
Curator;58000;yr;2003;97000;yr;P;2019;20;female;latino;PhD
Archivist;21;hr;N;23;hr;H Part Time;2019;3;female;white;BA required MA preferred
Manager;50000;yr;2018;50000;yr;P;2019;8;female;N;MA
Director;55000;yr;N;66500;yr;P;2019;;female;white;MA
other;30000;yr;2014;47250;yr;P;2019;7;female;white;MA
other;30000;yr;2014;47250;yr;P;2019;7;female;white;MA
Manager;53000;yr;2019;53000;yr;P;2019;5;male;latino;No degree
Editorial;12;hr;2016;27;hr;P;2019;4;n/a;N;BA
Manager;34000;yr;2017;35000;yr;P;2019;5;female;white;BA
Manager;38230;yr;2017;38609;yr;P;2029;20;female;mixed;MA
Curator;30000;yr;2019;30000;yr;H Part Time;2019;10;female;mixed;N
Curator;14;hr;2018;15;hr;H;2019;2;n/a;N;BA
Conservator;82500;yr;2017;95500;yr;P;2019;10;female;white;MA
Librarian;18,31;hr;2019;18,67;hr;H;2019;;male;white;HS
Manager;45000;yr;2013;73000;yr;P;2019;13;female;white;MA
Archivist;54000;yr;2018;55600;yr;P Full Time;2019;7;female;white;MLIS
Curator;12;hr;N;12,75;hr;H,C;2019;n/a;female;white;BA required MA preferred
Director;70000;yr;2018;70000;yr;P;2019;25;female;white;BA
Assistant;47500;yr;2017;50400;yr;P;2019;10;female;white;MA
other;38000;yr;2009;42000;yr;P;2013;4;female;white;MA
Curator;22000;yr;2018;22000;yr;P;2019;20;female;mixed;MA
Manager;40000;yr;2019;40000;yr;n/a;2019;5;female;white;BA
Coordinator;26500;yr;2018;27500;yr;H;2019;0;female;white;BA
Writer;29000;yr;2014;30000;yr;P;2016;2;male;white;BA
Registrar;38000;yr;N;45000;yr;n/a;2019;5;male;white;N
Director;54900;yr;2018;;N;P;2018;20;female;N;MA
Coordinator;38000;yr;2018;40000;yr;P;2019;10;female;white;N
Assistant Curator;48000;yr;2017;52000;yr;n/a;2019;10;female;N;MA
Communications;30000;yr;2013;41000;yr;P;2019;6;n/a;N;N
Director;70000;yr;2019;70000;yr;P;2019;6;n/a;N;N
Curator;47000;yr;2017;47000;yr;H;2018;12;female;white;MA required PhD preferred
Gallery Assistant;15;yr;2017;15;hr;H;2019;5;female;white;BA
Assistant Curator;55000;yr;2016;65000;yr;P;2016;2;n/a;N;MA
Assistant;35000;yr;2013;52000;yr;P;2018;5;female;N;BA
Manager;62000;yr;2016;72000;yr;C;2019;18;female;white;MA
Visitor Experience;33000;yr;2016;38568;yr;P;2018;4;female;white;BA
Registrar;23000;yr;2010;38000;yr;P;2019;;female;N;N
Curator;33000;yr;2010;57000;yr;P;2019;11;female;asian;BA
Curator;33000;yr;2010;57000;yr;P;2019;11;female;asian;BA
Visitor Experience;13,25;hr;2018;13,25;yr;n/a;2019;1;n/a;N;MA
Director;;;2017;60000;yr;n/a;;;male;white;N
Manager;19,25;hr;2012;21;hr;H,P;2019;6;female;N;MA
Manager;67500;yr;2018;68175;yr;P;2019;4;female;white;BA
Relations;32000;yr;2016;34000;yr;H;2019;4;female;white;BA
Coordinator;15,75;hr;2018;16;hr;H,P;2019;6;female;white;BA
Manager;50000;yr;2015;54000;yr;P;2019;5;female;white;BA
Assistant;33000;yr;2015;35500;yr;P;2018;3;male;white;MA
Director;42500;yr;2018;;N;P;2019;12;female;white;N
Assistant Manager;37000;yr;N;44500;yr;P;2019;12;n/a;white;N
Manager;33000;yr;2016;;N;P;2019;3;n/a;N;BA
Director;67000;yr;2017;72000;yr;P;2019;20;n/a;N;N
Relations;38000;yr;2016;42000;yr;P;2019;5;male;white;BA
Technical;42000;yr;2018;42000;yr;P;2019;10;male;white;N
Curator;46000;yr;2016;49900;yr;H;2019;10;female;white;BA required MA preferred
Curator;46000;yr;2016;49900;yr;H;2019;10;female;white;BA required MA preferred
Designer;58000;yr;2016;65000;yr;P;2019;9;n/a;N;BA required MA preferred
Coordinator;38000;yr;2015;42000;yr;P;2019;10;n/a;N;BA required MA preferred
Registrar;50000;yr;2014;56000;yr;P;2019;16;female;white;MA
other;0;yr;1994;200000;yr;C;2019;25;male;N;N
Director;110000;yr;2015;110000;yr;P;2019;20;male;white;BA
Coordinator;50000;yr;2017;55000;yr;P;2019;3;female;asian;N
Curator;;;N;80000;yr;P;2019;10;n/a;N;N
Director;68000;yr;2019;68000;yr;P;2019;9;female;white;MA
Gallery Assistant;34000;yr;2015;40000;yr;H;2019;8;female;white;BA
Coordinator;40000;yr;2017;40000;yr;P;2019;5;female;white;N
Manager;18;hr;2015;21;hr;H;2019;7;female;white;N
Coordinator;32000;yr;2011;38000;yr;P;2015;11;female;white;MA
Manager;30000;yr;2018;30000;yr;n/a;2019;3;female;white;BA
Intern;15;hr;N;15;hr;H Part Time;2015;1;female;white;BA
Coordinator;14,5;hr;N;;N;H,P;2019;;female;white;N
Curator;31400;yr;N;31400;yr;P Full Time;2019;3;female;white;MA
Registrar;42000;yr;N;43260;yr;P;2019;8;female;white;BA required MA preferred
Curator;46000;yr;2017;47000;yr;P;2019;5;female;N;PhD
Registrar;62000;yr;2019;;N;n/a;2019;6;female;white;MA
Director;78000;yr;2019;78000;yr;P;2019;15;female;white;MA
Manager;33500;yr;2006;75000;yr;P;2019;13;female;asian;BA
Curator;28000;yr;N;32000;yr;P;2019;6;female;white;N
Director;38000;yr;2014;54000;yr;P;2018;10;female;white;BA
Archivist;45000;yr;2018;45000;yr;C;2019;4;female;white;MLIS
Assistant Curator;36000;yr;2018;37000;yr;P;2019;;female;latino;N
Assistant;42000;yr;2016;47500;yr;P Full Time;2019;5;female;white;MA
Manager;30720;yr;N;60000;yr;H;2019;1;female;latino;None required BA preferred
Intern;24000;yr;2015;24000;yr;H,C;2016;0;female;white;MA
Director;27000;yr;2013;28000;yr;H;2014;4;female;white;BA
Coordinator;28000;yr;2016;29000;yr;P;2019;4;female;white;BA required MA preferred
Director;50000;yr;2015;50000;yr;P;2019;1;female;white;MA
Registrar;35000;yr;2007;48000;yr;P;2017;8;female;N;N
Manager;25500;yr;2005;58500;yr;P;2019;14;female;poc;BA
Curator;19000;yr;2010;27000;yr;P;2013;;female;white;N
Coordinator;30000;yr;N;30000;yr;H;;4;female;asian;N
Manager;57000;yr;2019;57000;yr;P;2019;5;female;N;BA
Manager;12;hr;2014;19;hr;H;2019;11;female;N;BA
Director;;;N;77000;yr;P;2019;15;female;white;BA required MA preferred
Curator;19;hr;N;19;hr;H;2016;25;female;white;MA
Assistant Curator;10;hr;N;12;hr;H;2019;3;female;white;N
Curator;33000;yr;N;47999;yr;P;2019;9;female;white;BA
Curator;37500;yr;2014;40000;yr;P;2019;0;female;white;BA
Director;75000;yr;2019;75000;yr;P;2019;12;female;white;MA
Director;42000;yr;2004;72000;yr;P;2019;25;female;white;MA
Curator;41000;yr;N;43000;yr;P;2019;5;female;white;MA
Coordinator;32000;yr;2018;32000;yr;P;2019;5;female;white;N
Manager;18000;yr;2018;18000;yr;P;2019;2;female;N;N
Director;50000;yr;2017;63000;yr;P;2019;13;female;white;MA
Manager;40000;yr;2018;46000;yr;P Full Time;2019;6;female;N;N
Assistant;16500;yr;N;16500;yr;H;2018;8;female;N;N
Director;47000;yr;2016;51000;yr;n/a;2019;10;female;white;MA
Director;20;hr;2019;20;hr;H;2019;5;female;white;MA
Registrar;25;hr;N;35;hr;H;2019;2;female;latino;BA required MA preferred
Curator;18,37;hr;N;18,37;hr;P;2019;3;other;white;BA required MA preferred
Curator;75000;yr;2015;85000;yr;P;2019;12;female;white;MA required PhD preferred
Communications;29500;yr;2019;29500;yr;Full Time;2019;3;female;mixed;BA required MA preferred
Assistant Curator;53000;yr;N;53000;yr;P;2019;;female;white;N
Curator;24500;yr;2014;27250;yr;P;2019;10;male;white;No degree
Assistant Curator;16;hr;2016;N;yr;H;2018;4;n/a;N;N
Coordinator;10;hr;2009;13;hr;H,C;2013;4;n/a;N;N
Manager;16;hr;N;25;hr;H Part Time;2019;7;female;white;BA required MA preferred
Assistant Curator;35000;yr;2019;;N;C;2019;1;male;N;BA
Assistant Director;30000;yr;2019;30000;yr;C;2019;3;male;white;MA
Assistant Curator;36000;yr;2017;41000;yr;P;2019;8;n/a;N;MA
Coordinator;39000;yr;2017;41000;yr;n/a;2018;5;n/a;N;BA required MA preferred
Relations;42000;yr;N;45000;yr;P;2013;3;female;white;BA
Assistant Educator;35000;yr;N;35000;yr;P;2019;2;female;white;MA
Assistant Curator;35850;yr;N;35850;yr;P;2019;5;female;white;MA
Visitor Experience;16;hr;2019;16;hr;H;2019;;female;white;BA
Curator;50000;yr;N;53500;yr;P;2019;;female;white;N
other;0;yr;N;2,74;hr;n/a;2019;7;n/a;asian;N
Manager;35000;yr;2018;40000;yr;P;2019;3;female;mixed;BA
Communications;60000;yr;2012;72000;yr;P;2019;18;female;white;BA
Director;50000;yr;N;53000;yr;P Full Time;2014;10;female;poc;MA
Curator;62000;yr;N;65000;yr;P;2019;18;female;white;MA
Communications;16;hr;2019;16;hr;H,P;2019;9;female;white;No degree
Designer;15000;yr;2014;32000;yr;P;2018;5;female;N;BA
Coordinator;50000;yr;2019;50000;yr;P;2019;3;n/a;N;BA
Curator;26000;yr;2013;53000;yr;P;2019;6;female;mixed;N
Assistant;41000;yr;2016;56000;yr;H,P;2019;5;female;mixed;N
Registrar;20;hr;N;33;hr;P;2019;20;n/a;white;BA
Manager;55000;yr;2016;55000;yr;n/a;2017;4;female;poc;N
Assistant Curator;60000;yr;2018;60000;yr;P;2019;7;female;white;MA
Manager;45000;yr;2016;52500;yr;P;2019;6;female;white;BA required MA preferred
Curator;40000;yr;2017;40000;yr;P;2019;6;female;white;MA
Manager;38000;yr;2016;40000;yr;H,P;2019;6;female;white;BA required MA preferred
Curator;90000;yr;N;105000;yr;P;2019;20;male;white;MA
Curator;35000;yr;2013;37000;yr;P;2018;;female;white;N
Intern;;;N;15;hr;H;n/a;4;female;N;N
Director;50000;yr;2015;53000;yr;P;2019;20;female;mixed;BA required MA preferred
Visitor Experience;13;hr;2018;13;hr;H,P;2019;;female;white;N
Manager;40000;yr;N;45000;yr;C;2019;3;female;white;BA
Manager;19000;yr;2013;38200;yr;P;2019;7;female;white;BA
